index,rm_id,window_length,end_month,end_day_of_year,po_in_window,hist_rec_30d,hist_po_30d,target
0,342,2,1,2,0.0,0.0,0.0,0
1,342,3,1,3,0.0,0.0,0.0,0
2,342,4,1,4,0.0,0.0,0.0,0
3,342,5,1,5,0.0,0.0,0.0,0
4,342,6,1,6,0.0,0.0,0.0,0
5,342,7,1,7,0.0,0.0,0.0,0
6,342,8,1,8,0.0,0.0,0.0,0
7,342,9,1,9,0.0,0.0,0.0,0
8,342,10,1,10,0.0,0.0,0.0,0
9,342,11,1,11,0.0,0.0,0.0,0
10,342,12,1,12,0.0,0.0,0.0,0
11,342,13,1,13,0.0,0.0,0.0,0
12,342,14,1,14,0.0,0.0,0.0,0
13,342,15,1,15,0.0,0.0,0.0,0
14,342,16,1,16,0.0,0.0,0.0,0
15,342,17,1,17,0.0,0.0,0.0,0
16,342,18,1,18,0.0,0.0,0.0,0
17,342,19,1,19,0.0,0.0,0.0,0
18,342,20,1,20,0.0,0.0,0.0,0
19,342,21,1,21,0.0,0.0,0.0,0
20,342,22,1,22,0.0,0.0,0.0,0
21,342,23,1,23,0.0,0.0,0.0,0
22,342,24,1,24,0.0,0.0,0.0,0
23,342,25,1,25,0.0,0.0,0.0,0
24,342,26,1,26,0.0,0.0,0.0,0
25,342,27,1,27,0.0,0.0,0.0,0
26,342,28,1,28,0.0,0.0,0.0,0
27,342,29,1,29,0.0,0.0,0.0,0
28,342,30,1,30,0.0,0.0,0.0,0
29,342,31,1,31,0.0,0.0,0.0,0
30,342,32,2,32,0.0,0.0,0.0,0
31,342,33,2,33,0.0,0.0,0.0,0
32,342,34,2,34,0.0,0.0,0.0,0
33,342,35,2,35,0.0,0.0,0.0,0
34,342,36,2,36,0.0,0.0,0.0,0
35,342,37,2,37,0.0,0.0,0.0,0
36,342,38,2,38,0.0,0.0,0.0,0
37,342,39,2,39,0.0,0.0,0.0,0
38,342,40,2,40,0.0,0.0,0.0,0
39,342,41,2,41,0.0,0.0,0.0,0
40,342,42,2,42,0.0,0.0,0.0,0
41,342,43,2,43,0.0,0.0,0.0,0
42,342,44,2,44,0.0,0.0,0.0,0
43,342,45,2,45,0.0,0.0,0.0,0
44,342,46,2,46,0.0,0.0,0.0,0
45,342,47,2,47,0.0,0.0,0.0,0
46,342,48,2,48,0.0,0.0,0.0,0
47,342,49,2,49,0.0,0.0,0.0,0
48,342,50,2,50,0.0,0.0,0.0,0
49,342,51,2,51,0.0,0.0,0.0,0
50,342,52,2,52,0.0,0.0,0.0,0
51,342,53,2,53,0.0,0.0,0.0,0
52,342,54,2,54,0.0,0.0,0.0,0
53,342,55,2,55,0.0,0.0,0.0,0
54,342,56,2,56,0.0,0.0,0.0,0
55,342,57,2,57,0.0,0.0,0.0,0
